#_	_
button.back	Back
player.unsetperson	Waiting for player...
player.localperson	You
button.skip	Skip
dialogmessages.registration.nointernet	No Internet Access
playonline.error.wrongpassword	Password Incorrect
playonline.error.waitingoncasual	You are already waiting on another async game to start.
playonline.error.cannotcreatelivegame	You are already waiting in another live game lobby.
playonline.error.cannotcreateasyncgame	You are already waiting in another async game lobby.
block.player	Block Player
multiplayer.blockplayer	Blocking {0} will hide their messages. This action cannot be undone.
multiplayer.reportplayer	{0} has been blocked. Would you like to report this player?
multiplayer.reportplayer.describe	Please describe why you are reporting {0}.
multiplayer.reportplayer.reason.abusive	Abusive or Inappropriate Chat Messages
multiplayer.reportplayer.reason.inappropriateusername	Inappropriate Username
multiplayer.reportplayer.reason.griefing	Griefing or Intentional Slow Play
multiplayer.reportplayer.reason.cheating	Suspected Cheating or Botting
name.ai.easy	AI (Easy)
name.ai.medium	AI (Medium)
name.ai.hard	AI (Hard)
button.createfriendgame	Create Friend Game
playonline.yourturn	It's Your Turn
multiplayer.yourturn.2	It's your turn to play!
mainmenu.friendgame	Friend Game
button.invitefriend	Invite Friend
player.defaultname	Player
button.decline	Decline
button.minimize	Minimize
button.expand	Expand
multiplayer.matchchat	Match Chat
multiplayer.variants	Variants
prompt.unitdetails.title.monster	Monster Status
prompt.unitdetails.title.player	Player Status
prompt.unitdetails.subheader	Cards Applied
trade.empty.player	Drag your Items here.<br>If left empty, nothing will be offered from your Items.
trade.empty.partner	Drag their Items here.<br>If left empty, nothing will be offered from their Items.
trade.theyget	They Get
trade.iget	I Get
sell.wontlevel	You cannot sell items to reach level 10.
sell.youritems	Your Items
sell.tosell	Items To Sell
sell.empty	Drag your Items Here.<br><br>Gain 1 level for every {0} gold worth of Items sold.
kin.level	Level
prompt.inventory.offertrade	Offer Trade
prompt.inventory.sellforlevel	Sell For Level
playmat.battle.askforhelp	Ask For Help
playmat.battle.runaway	Run Away
playmat.battle.failed	Failed!
playmat.battle.success	Success!
prompt.avatarselection	Avatar Selection
prompt.showowned	Show Owned
prompt.sort	Sort
card.type.class	Class
card.type.race	Race
card.type.item	Item
card.type.item.big	Item - Big
card.type.item.oneshot	Item - One Shot
card.type.curse	Curse!
card.type.special	Special
card.type.monster	Monster
card.type.monster.undead	Monster - Undead
card.type.monsterenhancer	Monster Enhancer
playmat.battle.win	Attack!
player.name.self	You
playonline.offplayer.label	Closed
login.newaccount	New Account
playonline.humanplayer.label	Open
character.race.norace	No Race
character.race.human	Human
character.race.dwarf	Dwarf
character.race.elf	Elf
character.race.halfling	Halfling
character.class.noclass	No Class
character.class.none	No Class
character.class.cleric	Cleric
character.class.thief	Thief
character.class.warrior	Warrior
character.class.wizard	Wizard
button.emote	Emote
placement.1st	1st
placement.2nd	2nd
placement.3rd	3rd
placement.4th	4th
placement.5th	5th
placement.6th	6th
button.done	Done
gen.one	One
gen.two	Two
gen.three	Three
prompt.inventory.configure	Configure
equip.armor	Armor
equip.headgear	Headgear
equip.footgear	Footgear
equip.onehand	One Handed
equip.twohand	Two Handed
equip.twohandbig	Two Handed Big
equip.oneshot	One Shot
prompt.tradeoffer.togive	For Your Items
prompt.tradeoffer.toreceive	{0} Offers
prompt.tradeoffer.header	Trade Offer
prompt.tradecomplete.accepted	Trade Accepted
prompt.tradecomplete.rejected	Trade Rejected
sell.noitemstosell	You have no items to sell
deck.door	Door
deck.treasure	Treasure
sex.male	Male
sex.female	Female
prompt.inventory.equipped	Equipped
prompt.inventory.carried	Carried
prompt.inventory.inhand	In Hand
prompt.inventory.raceclass	Race / Class
button.block	Block
prompt.unequip.header	Choose Items
prompt.replaceclass.header	Replace a Class
prompt.replacerace.header	Replace a Race
prompt.lootthebody.header	Loot the Body
prompt.played	Played
prompt.readylivegame	Your live game is ready. Because turn timers are short, you must go there now or resign.
prompt.discard.header	Discard
dragtarget.drophere	Drop Here
dragtarget.usenow	Use Now
dragtarget.addundead	Add Undead to Combat
prompt.stealcard.header	Steal Card
prompt.choosecard.header	Choose Card
prompt.chooseplayer.header	Choose Player
prompt.choosemanyplayers.header	Choose Players
prompt.killhireling.header	Kill Hireling
prompt.choosediscardpile.header	Draw From Pile
button.confirm	Confirm
emote.curses	Curses!
emote.incredible	Incredible!
emote.help	I'm having a hard time here...
emote.unplanned	Well that didn't go as planned...
emote.wellplayed	Well played
emote.run	Better run!
prompt.general.or	or
prompt.reportplayer.dropdown	Select your reason for reporting
prompt.discarded	Discarded
prompt.gave	Given To {0}
prompt.stole	Stolen by {0}
button.distract	Distract
kin.killnose	Kill the Nose
button.wave	Walk Past
button.scare	Booga Booga
button.bribe	Bribe
button.ignorefight	Ignore Fight
prompt.cursed	Got Cursed
prompt.cheat.header	Cheat!
button.reconnect	Reconnect
match.askforhelp.failed	Help Declined
playonline.error.cannotjoingame	You are already waiting on another game to start.
gameoptions.endturnjumpin	End Turn Jump-In Allowed
prompt.title.tradedfor	Traded For
prompt.used	Used
button.mustaccept	OK
prompt.sold	Sold
kin.deckshuffle.door	Door Deck Shuffled
kin.deckshuffle.treasure	Treasure Deck Shuffled
auto.update.body	An update is available.
auto.update.body.forced	An update is required to continue.
auto.update.confirm	Update
button.reject	Reject
deck.door.top	Door Top Card
deck.treasure.top	Treasure Top Card
card.type.monster.baby	Monster - Baby
card.type.monster.baby.undead	Monster - Baby Undead
prompt.looted	Looted by {0}
dialogmessages.addfriend.inviteexists	Invite already sent to this user.
login.deleteaccountbutton	Delete Account
deleteaccount.confirm.message	Are you sure you want to delete your account?
deleteaccount.complete.message	Check your email to complete the account deletion.
deleteaccount.failed.message	A network error has prevented you from deleting your account. Try again later.
playonline.error.gamefull	This game is full.
dialogmessages.continuegame.failure.gameended	Game has ended for having no remaining human players
kin.combat.rewards.draft.pick	Pick [pick]: Select a Card
equip.armorbig	Armor Big
equip.onehandbig	One Handed Big
equip.slotlessbig	Big
multiplayer.gamecompleted.1	Your game with {0} is complete. View the results?
multiplayer.gamecompleted.2	Your game with {0} and {1} is complete. View the results?
multiplayer.gamecompleted.3	Your game with {0}, {1}, and {2} is complete. View the results?
multiplayer.gamecompleted.4	Your game with {0}, {1}, {2}, and {3} is complete. View the results?
multiplayer.gamecompleted.5	Your game with {0}, {1}, {2}, {3} and {4} is complete. View the results?
multiplayer.gamecompleted.6	Your game with {0}, {1}, {2}, {3}, {4}, and {5} is complete. View the results?
prompt.gave.too.big	Given To {0} because they had too many big items.
kin.event.revived	Revived
test.ops.key	test.ops.key
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.name	Plutonium Dragon
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.name	Mr. Bones
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.name	Change Class
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.name	Change Race
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.name	Change Sex
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.name	Chicken On Your Head
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.name	Duck of Doom
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.name	Income Tax
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.name	Lose a Big Item
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.name	Lose a Level
base.door.217b04bf-e9b0-4878-b1cd-4f9122239913.name	Lose a Level
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.name	Lose a Small Item
base.door.e9f354fb-0267-487b-a4dc-2709b65c870d.name	Lose a Small Item
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.name	Lose Armor
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.name	Lose Headgear
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.name	Lose Footgear
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.name	Lose Two Cards
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.name	Lose Your Class
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.name	Lose Your Race
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.name	Malign Mirror
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.name	Truly Obnoxious Curse!
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.name	Cleric
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.name	Thief
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.name	Warrior
base.door.388e4af8-ba44-4715-9962-455838bfbe73.name	Wizard
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.name	Super Munchkin
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.name	Dwarf
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.name	Elf
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.name	Halfling
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.name	Half-Breed
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.name	Bullrog
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.name	Squidzilla
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.name	Hippogriff
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.name	King Tut
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.name	Wight Brothers
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.name	Insurance Salesman
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.name	Stoned Golem
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.name	Unspeakably Awful Indescribable Horror
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.name	Bigfoot
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.name	Tongue Demon
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.name	Wannabe Vampire
base.door.55e5c91e-a987-4900-abec-0f502175288a.name	3,872 Orcs
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.name	Floating Nose
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.name	Net Troll
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.name	Amazon
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.name	Gazebo
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.name	Ghoulfiends
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.name	Face Sucker
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.name	Lawyers
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.name	Platycore
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.name	Pukachu
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.name	Shrieking Geek
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.name	Harpies
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.name	Leperchaun
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.name	Snails on Speed
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.name	Undead Horse
base.door.b9d66767-ceee-47bb-a428-691cb557c716.name	Flying Frogs
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.name	Gelatinous Octahedron
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.name	Large Angry Chicken
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.name	Pit Bull
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.name	Crabs
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.name	Drooling Slime
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.name	Lame Goblin
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.name	Maul Rat
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.name	Potted Plant
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.name	Ancient
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.name	Baby
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.name	Enraged
base.door.45814a37-7d87-4333-8e69-3068628f2474.name	Humongous
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.name	Intelligent
base.door.b95cafbd-d581-43ff-a08b-39979135b256.name	Mate
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.name	Wandering Monster
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.name	Cheat!
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.name	Divine Intervention
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.name	Help Me Out Here!
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.name	Illusion
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.name	Out To Lunch
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.text	Will not pursue anyone of Level 5 or below.
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.text	If you must flee, you lose a level even if you escape.
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.text	If you have no Class now, this curse has no effect. Otherwise, go back through the discard pile, starting with the top discard. The first Class card you come to replaces your current Class(es). If you go through the discards without finding a Class card, you just lose your own Class(es).
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.text	If you have no Race now, this curse has no effect. Otherwise, go back through the discard pile, starting with the top discard. The first Race card you come to replaces your current Race(s). If you go through the discards without finding a Race card, you just lose your own Race(s).
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.text	-5 to your next combat due to distraction. After that, there is no further penalty. However, the change is permanent.
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.text	-1 to all your die rolls. Any Curse or Bad Stuff that removes your Headgear will take the chicken with it.
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.text	You should know better than to pick up a duck in a dungeon. Lose two levels.
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.text	Discard one Item of your choice. Every other player must now discard an Item, or Items, totaling at least as much value as the Item you discarded. If they don’t have enough to pay the full tax, they must discard all their Items and lose a level.
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.text	Choose one Big item to discard.
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.text	Lose a Level
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.text	Choose one Small Item to discard. Any Item that is not designated Big is Small.
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.text	Lose the Armor You Are Wearing
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.text	Lose the Headgear You Are Wearing
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.text	Lose the Footgear You Are Wearing
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.text	First the player after the victim in turn order draws a card from the victim's hand and keeps it. Then the player before the victim in turn order does the same.
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.text	Discard your Class card, if you have one. If you have two Classes in play, lose one of them (your choice). If you have no Class, lose a level.
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.text	Discard any Race(s) you have in play and become a Human.
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.text	You are cursed! In your next fight (only), you may not get any bonuses from Items other than Armor. A Wishing Ring, used before the next fight, will lift the curse.
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.text	Lose the Item That Gives You the Biggest Bonus
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.text	<b>Resurrection:</b> When it is time for you to draw cards face-up, you may instead take some or all from the top of the appropriate <i>discard</i> pile.<br>You must then discard one card from your hand for each card so drawn.<br><b>Turning:</b> You may discard up to three cards in combat against an Undead creature. Each discard gives you a +3 bonus.
base.door.fe64f0ce-af63-467d-8ad1-0ee7ddbc344f.text	<b>Resurrection:</b> When it is time for you to draw cards face-up, you may instead take some or all from the top of the appropriate <i>discard</i> pile.<br>You must then discard one card from your hand for each card so drawn.<br><b>Turning:</b> You may discard up to three cards in combat against an Undead creature. Each discard gives you a +3 bonus.
base.door.ca594201-bd83-4215-8b5a-88f5359bd827.text	<b>Resurrection:</b> When it is time for you to draw cards face-up, you may instead take some or all from the top of the appropriate <i>discard</i> pile.<br>You must then discard one card from your hand for each card so drawn.<br><b>Turning:</b> You may discard up to three cards in combat against an Undead creature. Each discard gives you a +3 bonus.
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.text	<b>Backstabbing:</b> You may discard a card to backstab another player (-2 in combat). You may do this only once per victim per combat, but if two players are fighting a monster together, you may backstab each of them.<br><b>Theft:</b> You may discard a card to try to steal a small Item carried by another player. Roll a die; 4 or more succeeds. Otherwise, you get whacked and lose a level.
base.door.6f8d05dd-10e6-41b3-813b-a74d4afa2a62.text	<b>Backstabbing:</b> You may discard a card to backstab another player (-2 in combat). You may do this only once per victim per combat, but if two players are fighting a monster together, you may backstab each of them.<br><b>Theft:</b> You may discard a card to try to steal a small Item carried by another player. Roll a die; 4 or more succeeds. Otherwise, you get whacked and lose a level.
base.door.a6ebc11c-6d9a-462c-b8e9-b2ec5e2d0222.text	<b>Backstabbing:</b> You may discard a card to backstab another player (-2 in combat). You may do this only once per victim per combat, but if two players are fighting a monster together, you may backstab each of them.<br><b>Theft:</b> You may discard a card to try to steal a small Item carried by another player. Roll a die; 4 or more succeeds. Otherwise, you get whacked and lose a level.
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.text	<b>Berserking:</b> You may discard up to three cards in combat; each one gives you a +1 bonus.<br>You win ties in combat.
base.door.08bbdd74-a5bb-4150-980a-63ffb491e787.text	<b>Berserking:</b> You may discard up to three cards in combat; each one gives you a +1 bonus.<br>You win ties in combat.
base.door.094b1e99-e8e3-4111-8ad7-6d9f57c62bc4.text	<b>Berserking:</b> You may discard up to three cards in combat; each one gives you a +1 bonus.<br>You win ties in combat.
base.door.388e4af8-ba44-4715-9962-455838bfbe73.text	<b>Flight Spell:</b> You may discard up to three cards after rolling the die to Run Away; each one gives you a +1 bonus to flee.<br><b>Charm Spell:</b> You may discard your whole hand (minimum three cards) to charm a single Monster instead of fighting it. Discard the Monster and take its Treasure, but don’t gain levels. If there are other monsters in the combat, fight them normally.
base.door.dda0c66f-0b6b-40dc-bd2c-4f0728c8089a.text	<b>Flight Spell:</b> You may discard up to three cards after rolling the die to Run Away; each one gives you a +1 bonus to flee.<br><b>Charm Spell:</b> You may discard your whole hand (minimum three cards) to charm a single Monster instead of fighting it. Discard the Monster and take its Treasure, but don’t gain levels. If there are other monsters in the combat, fight them normally.
base.door.3427143b-61fc-4317-a299-6c5333462a70.text	<b>Flight Spell:</b> You may discard up to three cards after rolling the die to Run Away; each one gives you a +1 bonus to flee.<br><b>Charm Spell:</b> You may discard your whole hand (minimum three cards) to charm a single Monster instead of fighting it. Discard the Monster and take its Treasure, but don’t gain levels. If there are other monsters in the combat, fight them normally.
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.text	You may have two Class cards, and have all of the advantages <i>and</i> disadvantages of each. Or you may have one Class card and have all of its advantages and <i>none</i> of its disadvantages (for example, monsters that hate Clerics will have no bonus against a Super Cleric).<br>Lose this card if you lose your Class card(s).
base.door.26a21bc0-e8c9-49df-b088-67d1232fb7b6.text	You may have two Class cards, and have all of the advantages <i>and</i> disadvantages of each. Or you may have one Class card and have all of its advantages and <i>none</i> of its disadvantages (for example, monsters that hate Clerics will have no bonus against a Super Cleric).<br>Lose this card if you lose your Class card(s).
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.text	You can carry any number of Big items.<br>You can have six cards in your hand.
base.door.11906a8f-4622-47bd-91ba-a6f5bedb0e5d.text	You can carry any number of Big items.<br>You can have six cards in your hand.
base.door.2faaf8ea-2915-42dc-a71a-91f7ef6c2b9f.text	You can carry any number of Big items.<br>You can have six cards in your hand.
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.text	+1 to Run Away.<br>You go up one level for every monster you <i>help someone else</i> kill.
base.door.df82e0d2-07a4-47aa-b6cb-0a0281a2f2cc.text	+1 to Run Away.<br>You go up one level for every monster you <i>help someone else</i> kill.
base.door.3b6f7658-e53f-4713-b447-16785e3eb036.text	+1 to Run Away.<br>You go up one level for every monster you <i>help someone else</i> kill.
