#_	_
button.back	Retour
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.name	Elfe
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.name	Halfelin
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.name	Sang-mêlè
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.name	Balrog Charolais
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.name	Céphalopodzilla
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.name	Hippogriffe
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.name	Tut-Tuuut-Ankh-Ammon
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.name	René Crophage et Fils, Dépanneurs en Chirurgie
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.name	Représentant en Assurances
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.name	Golem Fracassé
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.name	Horreur non-euclidienne indicible
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.name	Bigfoot, alias Grand-Pied
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.name	Succube Langue-de-Belle-Mère
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.name	Fan De Vampire
base.door.55e5c91e-a987-4900-abec-0f502175288a.name	3872 Orques
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.name	Nez Flottant
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.name	Trôliste
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.name	Amazone
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.name	Belvédère Sauvage
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.name	Vamps...ires !?!
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.name	Suceur de Tête
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.name	Huissier
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.name	Manticor- nithorynque
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.name	Gerbosaure
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.name	Binoclard Hurleur
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.name	Harpies
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.name	Lépreuxchaun
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.name	Escargots sous Acide
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.name	Cheval Zombie
base.door.b9d66767-ceee-47bb-a428-691cb557c716.name	Grenouilles Volantes
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.name	Octaèdre Gélatineux
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.name	Poulet Élevé aux Stéroïdes
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.name	Pit Bull
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.name	Morpions
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.name	Mucus Baveux
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.name	Gobelin Estropié
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.name	Rat Musclé
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.name	Plante d’Ornement
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.name	Vénérable
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.name	Bébé
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.name	Enragé
base.door.45814a37-7d87-4333-8e69-3068628f2474.name	Énoooorme
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.name	Intelligent
base.door.b95cafbd-d581-43ff-a08b-39979135b256.name	Petite Amie
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.name	Monstre Errant
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.name	Tricheur!
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.name	Intervention Divine
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.name	Tire-moi de là !
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.name	Illusion
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.name	Pause Déjeuner
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.text	
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.text	Si vous devez vous enfuir, vous perdez 1 niveau même si vous arrivez à Déguerpir.
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.text	Si vous n’avez pas encore de Classe, cette malédiction est sans effet. Sinon, regardez une à une les cartes de la défausse, en commençant par la dernière posée. La première carte de Classe que vous trouvez remplace votre (ou vos) Classe(s) actuelle(s). Si la défausse n’en contient aucune, vous perdez simplement votre Classe.
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.text	Si vous n’avez pas encore de Race, cette malédiction est sans effet. Sinon, regardez les cartes de la défausse, en commençant par la dernière posée. La première carte de Race que vous trouvez remplace votre (ou vos) Race(s) actuelle(s). Si la défausse n’en contient aucune, vous perdez simplement votre Race.
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.text	Vous êtes momentanément distrait par le changement pendant votre prochain combat (malus de -5). Après, il n’y a plus aucun malus. Toutefois, le changement est permanent.
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.text	-1 à tous vos jets de dé. Toute Malédiction ou Incident Fâcheux qui vous retire votre Couvre-chef fera également disparaître le poulet.
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.text	Les aventuriers malins ne ramassent pas de canard dans les donjons. Perdez 2 niveaux.
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.text	Défaussez un objet de votre choix. Chaque autre joueur doit maintenant défausser un ou des objets dont la valeur totale égale au moins celle du vôtre. Ceux qui n’ont pas assez pour payer doivent défausser tous leurs objets et perdre 1 niveau.
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.text	Choisissez un Gros objet à défausser
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.text	Perdez 1 niveau
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.text	Choisissez un petit objet à défausser. Tout objet qui n’est pas spécifiquement désigné comme « Gros » est petit.
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.text	Perdez l’Armure que vous portez
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.text	Choisissez un petit objet à défausser. Tout objet qui n’est pas spécifiquement désigné comme « Gros » est petit.
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.text	Perdez les Chaussures que vous portez
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.text	Le joueur situé à la gauche de la victime prend une carte au hasard dans la main de cette dernière et la conserve. Le joueur situé à la droite de la victime fait ensuite de même.
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.text	Défaussez votre carte de Classe si vous en avez une. Si vous avez 2 Classes en jeu, vous en perdez une au choix. Si vous n’avez pas de Classe, vous perdez 1 niveau.
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.text	Défaussez toute carte de Race que vous avez en jeu et redevenez Humain.
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.text	Vous êtes maudit ! Lors de votre prochain combat uniquement, vous n’obtiendrez aucun bonus de vos objets à l’exception de votre armure. Si vous utilisez un Anneau de Souhait avant votre prochain combat, la malédiction est levée.
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.text	Perdez l’objet qui vous donne le plus haut bonus
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.text	<b>Résurrection :</b> quand vous devez tirer des cartes face visible, vous pouvez choisir de tirer à la place le même nombre de carte de la défausse appropriée (Trésor ou Donjon). Vous devez ensuite défausser une carte de votre main pour chaque carte que vous avez tirée ainsi.<br><b>Renvoi :</b> vous pouvez défausser jusqu’à 3 cartes en combat contre une créature de type Mort-vivant. Chaque carte défaussée vous donne un bonus de +3.
base.door.fe64f0ce-af63-467d-8ad1-0ee7ddbc344f.text	<b>Résurrection :</b> quand vous devez tirer des cartes face visible, vous pouvez choisir de tirer à la place le même nombre de carte de la défausse appropriée (Trésor ou Donjon). Vous devez ensuite défausser une carte de votre main pour chaque carte que vous avez tirée ainsi.<br><b>Renvoi :</b> vous pouvez défausser jusqu’à 3 cartes en combat contre une créature de type Mort-vivant. Chaque carte défaussée vous donne un bonus de +3.
base.door.ca594201-bd83-4215-8b5a-88f5359bd827.text	<b>Résurrection :</b> quand vous devez tirer des cartes face visible, vous pouvez choisir de tirer à la place le même nombre de carte de la défausse appropriée (Trésor ou Donjon). Vous devez ensuite défausser une carte de votre main pour chaque carte que vous avez tirée ainsi.<br><b>Renvoi :</b> vous pouvez défausser jusqu’à 3 cartes en combat contre une créature de type Mort-vivant. Chaque carte défaussée vous donne un bonus de +3.
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.text	<b>Poignarder :</b> vous pouvez défausser une carte pour poignarder un autre joueur dans le dos (-2 au combat). Vous ne pouvez le faire qu’une fois par victime et par combat, mais si deux joueurs combattent ensemble, vous pouvez les poignarder tous les deux.<br> <b>Vol à la tire :</b> vous pouvez défausser une carte pour essayer de voler un petit objet porté par un autre joueur. Lancez un dé : vous réussissez si vous faites 4 ou plus. Sinon, vous prenez une torgnole et perdez 1 niveau.
base.door.6f8d05dd-10e6-41b3-813b-a74d4afa2a62.text	<b>Poignarder :</b> vous pouvez défausser une carte pour poignarder un autre joueur dans le dos (-2 au combat). Vous ne pouvez le faire qu’une fois par victime et par combat, mais si deux joueurs combattent ensemble, vous pouvez les poignarder tous les deux.<br> <b>Vol à la tire :</b> vous pouvez défausser une carte pour essayer de voler un petit objet porté par un autre joueur. Lancez un dé : vous réussissez si vous faites 4 ou plus. Sinon, vous prenez une torgnole et perdez 1 niveau.
base.door.a6ebc11c-6d9a-462c-b8e9-b2ec5e2d0222.text	<b>Poignarder :</b> vous pouvez défausser une carte pour poignarder un autre joueur dans le dos (-2 au combat). Vous ne pouvez le faire qu’une fois par victime et par combat, mais si deux joueurs combattent ensemble, vous pouvez les poignarder tous les deux.<br> <b>Vol à la tire :</b> vous pouvez défausser une carte pour essayer de voler un petit objet porté par un autre joueur. Lancez un dé : vous réussissez si vous faites 4 ou plus. Sinon, vous prenez une torgnole et perdez 1 niveau.
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.text	<b>Rage de berserker :</b> vous pouvez défausser jusqu’à 3 cartes durant un combat. Chacune vous donne un bonus de +1.<br>En cas d’ex-aequo durant un combat, c’est vous qui l’emportez.
base.door.08bbdd74-a5bb-4150-980a-63ffb491e787.text	<b>Rage de berserker :</b> vous pouvez défausser jusqu’à 3 cartes durant un combat. Chacune vous donne un bonus de +1.<br>En cas d’ex-aequo durant un combat, c’est vous qui l’emportez.
base.door.094b1e99-e8e3-4111-8ad7-6d9f57c62bc4.text	<b>Rage de berserker :</b> vous pouvez défausser jusqu’à 3 cartes durant un combat. Chacune vous donne un bonus de +1.<br>En cas d’ex-aequo durant un combat, c’est vous qui l’emportez.
base.door.388e4af8-ba44-4715-9962-455838bfbe73.text	<b>Sort de vol :</b> après avoir jeté le dé pour déguerpir, vous pouvez défausser jusqu’à 3 cartes. Chacune vous confère un bonus de +1.<br><b>Sort de charme :</b> vous pouvez défausser toute votre main (minimum de trois cartes) pour charmer un Monstre, et un seul, au lieu de le combattre. Défaussez le Monstre et prenez son Trésor, mais ne gagnez pas de niveau. Si d’autres monstres participent au combat, combattez-les normalement.
