#_	_
button.back	戻る
prompt.replaceclass.header	
prompt.replacerace.header	
prompt.lootthebody.header	
prompt.played	
prompt.readylivegame	ライブゲームの準備が出来ました。ターンタイマーは長くないため、今すぐ始める必要があります。
prompt.discard.header	
dragtarget.drophere	
dragtarget.usenow	
dragtarget.addundead	
prompt.stealcard.header	
prompt.choosecard.header	
prompt.chooseplayer.header	
prompt.choosemanyplayers.header	
prompt.killhireling.header	
prompt.choosediscardpile.header	
button.confirm	
emote.curses	
emote.incredible	
emote.help	
emote.unplanned	
emote.wellplayed	
emote.run	
prompt.general.or	
prompt.reportplayer.dropdown	通報の理由を選んでください
prompt.discarded	
prompt.gave	
prompt.stole	
button.distract	
kin.killnose	
button.wave	
button.scare	
button.bribe	
button.ignorefight	
prompt.cursed	
prompt.cheat.header	
button.reconnect	
match.askforhelp.failed	
playonline.error.cannotjoingame	
gameoptions.endturnjumpin	
prompt.title.tradedfor	
prompt.used	
button.mustaccept	
prompt.sold	
kin.deckshuffle.door	
kin.deckshuffle.treasure	
auto.update.body	アップデートがあります。
auto.update.body.forced	続行するにはアップデートが必要です。
auto.update.confirm	アップデート
button.reject	
deck.door.top	
deck.treasure.top	
card.type.monster.baby	
card.type.monster.baby.undead	
prompt.looted	
dialogmessages.addfriend.inviteexists	このユーザーはすでに招待しています。
login.deleteaccountbutton	アカウントを消去する
deleteaccount.confirm.message	本当にこのアカウントを消去しますか？
deleteaccount.complete.message	アカウントの消去を完了するには、確認のためメールアドレスを入力してください。
deleteaccount.failed.message	ネットワークエラーにより、アカウントを消去できませんでした。時間をおいてもう一度お試しください。
playonline.error.gamefull	このゲームは満員です。
dialogmessages.continuegame.failure.gameended	
kin.combat.rewards.draft.pick	
equip.armorbig	
equip.onehandbig	
equip.slotlessbig	
multiplayer.gamecompleted.1	
multiplayer.gamecompleted.2	
multiplayer.gamecompleted.3	
multiplayer.gamecompleted.4	
multiplayer.gamecompleted.5	
multiplayer.gamecompleted.6	
prompt.gave.too.big	
kin.event.revived	
test.ops.key	
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.name	
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.name	
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.name	
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.name	
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.name	
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.name	
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.name	
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.name	
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.name	
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.name	
base.door.217b04bf-e9b0-4878-b1cd-4f9122239913.name	
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.name	
base.door.e9f354fb-0267-487b-a4dc-2709b65c870d.name	
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.name	
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.name	
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.name	
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.name	
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.name	
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.name	
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.name	
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.name	
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.name	
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.name	
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.name	
base.door.388e4af8-ba44-4715-9962-455838bfbe73.name	
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.name	
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.name	
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.name	
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.name	
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.name	
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.name	
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.name	
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.name	
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.name	
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.name	
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.name	
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.name	
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.name	
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.name	
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.name	
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.name	
base.door.55e5c91e-a987-4900-abec-0f502175288a.name	
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.name	
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.name	
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.name	
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.name	
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.name	
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.name	
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.name	
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.name	
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.name	
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.name	
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.name	
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.name	
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.name	
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.name	
base.door.b9d66767-ceee-47bb-a428-691cb557c716.name	
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.name	
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.name	
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.name	
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.name	
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.name	
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.name	
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.name	
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.name	
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.name	
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.name	
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.name	
base.door.45814a37-7d87-4333-8e69-3068628f2474.name	
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.name	
base.door.b95cafbd-d581-43ff-a08b-39979135b256.name	
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.name	
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.name	
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.name	
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.name	
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.name	
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.name	
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.text	
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.text	
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.text	
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.text	
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.text	
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.text	
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.text	
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.text	
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.text	
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.text	
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.text	
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.text	
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.text	
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.text	
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.text	
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.text	
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.text	
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.text	
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.text	
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.text	
base.door.fe64f0ce-af63-467d-8ad1-0ee7ddbc344f.text	
base.door.ca594201-bd83-4215-8b5a-88f5359bd827.text	
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.text	
base.door.6f8d05dd-10e6-41b3-813b-a74d4afa2a62.text	
base.door.a6ebc11c-6d9a-462c-b8e9-b2ec5e2d0222.text	
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.text	
base.door.08bbdd74-a5bb-4150-980a-63ffb491e787.text	
base.door.094b1e99-e8e3-4111-8ad7-6d9f57c62bc4.text	
base.door.388e4af8-ba44-4715-9962-455838bfbe73.text	
base.door.dda0c66f-0b6b-40dc-bd2c-4f0728c8089a.text	
base.door.3427143b-61fc-4317-a299-6c5333462a70.text	
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.text	
base.door.26a21bc0-e8c9-49df-b088-67d1232fb7b6.text	
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.text	
base.door.11906a8f-4622-47bd-91ba-a6f5bedb0e5d.text	
base.door.2faaf8ea-2915-42dc-a71a-91f7ef6c2b9f.text	
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.text	
base.door.df82e0d2-07a4-47aa-b6cb-0a0281a2f2cc.text	
base.door.3b6f7658-e53f-4713-b447-16785e3eb036.text	
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.text	
base.door.97567e5e-96cf-4ddb-9112-2fce279a0138.text	
base.door.6e83b590-71df-48b3-acdc-481e1a2be7fe.text	
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.text	
base.door.bf201553-be7c-4479-a7a0-9cc417588198.text	
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.text	
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.text	
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.text	
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.text	
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.text	
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.text	
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.text	
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.text	
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.text	
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.text	
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.text	
base.door.55e5c91e-a987-4900-abec-0f502175288a.text	
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.text	
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.text	
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.text	
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.text	
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.text	
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.text	
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.text	
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.text	
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.text	
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.text	
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.text	
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.text	
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.text	
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.text	
base.door.b9d66767-ceee-47bb-a428-691cb557c716.text	
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.text	
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.text	
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.text	
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.text	
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.text	
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.text	
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.text	
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.text	
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.text	
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.text	
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.text	
base.door.45814a37-7d87-4333-8e69-3068628f2474.text	
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.text	
base.door.b95cafbd-d581-43ff-a08b-39979135b256.text	
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.text	
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.text	
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.text	
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.text	
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.text	
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.text	
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.badstuff	
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.badstuff	
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.badstuff	
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.badstuff	
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.badstuff	
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.badstuff	
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.badstuff	
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.badstuff	
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.badstuff	
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.badstuff	
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.badstuff	
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.badstuff	
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.badstuff	
base.door.55e5c91e-a987-4900-abec-0f502175288a.badstuff	
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.badstuff	
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.badstuff	
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.badstuff	
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.badstuff	
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.badstuff	
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.badstuff	
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.badstuff	
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.badstuff	
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.badstuff	
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.badstuff	
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.badstuff	
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.badstuff	
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.badstuff	
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.badstuff	
base.door.b9d66767-ceee-47bb-a428-691cb557c716.badstuff	
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.badstuff	
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.badstuff	
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.badstuff	
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.badstuff	
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.badstuff	
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.badstuff	
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.badstuff	
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.badstuff	
monster.thumbnail.rewardlevels	
monster.thumbnail.treasures	
monster.badstuff	
base.treasure.809a7b83-272b-4f46-9e6e-8b7db792beb6.name	
base.treasure.9ea3a17f-97f6-4aa7-a1c0-a287ce74e8f7.name	
base.treasure.4eef09b0-311c-4a21-bed3-b8b320618218.name	
base.treasure.0e5c6c75-98ab-4bee-b3d8-98018b63a50d.name	
base.treasure.53998110-a846-46d9-8e0f-3986f5a3038d.name	
base.treasure.22f8ccc0-072b-4c86-ab72-0d12bec6fe01.name	
base.treasure.11a0ccea-b9ac-4a91-a00e-a6a227da377c.name	
base.treasure.b7770f9c-5ec6-40a3-813c-45ecec1758ca.name	
base.treasure.9957a953-ba2b-4dd6-b74e-a74a0421c672.name	
