#_	_
button.back	Atrás
dialogmessages.resignfromgame.failure	No has podido abandonar el juego. Comprueba tu conexión a la red.
rankedselect.errors.connectfailed	Se ha agotado el tiempo de conexión. Comprueba tu conexión a internet y vuelve a intentarlo.
dialogmessages.feedback.timeout	Se ha producido un error al enviar tus comentarios.
dialogmessages.leaderboard.failure	No se puede acceder a la clasificación en este momento.
dialogmessages.addfriend.accountnotfound	No se ha podido enviar la invitación de amigo: no se ha encontrado la cuenta.
dialogmessages.addfriend.invitefailure	No se ha podido enviar la invitación de amigo.
dialogmessages.acceptfriend.failure	Se ha producido un error al aceptar la invitación de amigo.
dialogmessages.cancelfriendrequest.failure	Error al cancelar petición de amistad.
dialogmessages.removefriend.failure	No se ha podido eliminar al amigo.
dialogmessages.invitefriend.failure	No se ha podido enviar la invitación, inténtalo más tarde.
disconnect.timeout	Agotado el tiempo de conexión
disconnect.idletimeout	
dialogmessages.changepassword.success	Tu contraseña se ha cambiado con éxito.
dialogmessages.passwordpolicy	Tu contraseña debe contener al menos 6 caracteres, una mayúscula y tanto letras como números.
dialogmessages.login.errors.invalidlogin	Contraseña o correo electrónico no válido.
dialogmessages.continuegame.failure	No se ha podido conectar con el juego. Error: {0}
disconnect.defaultreason	Se ha perdido la conexión con el servidor
challenges.startgame	Comenzar partida
addfriend.addplayername	Player Name or Email
button.accept	
button.invite	Invitar
online.lobbypassword.enter	Introducir contraseña de sala
button.exit	Salir
settings.audio.mute	Silenciar
header.campaign	Campaña
game.over.prompt.confirm	Abandonar partida
settings.pc.graphics.high	Alto
settings.pc.graphics.medium	Medio
settings.pc.graphics.low	Bajo
account.error.usernametaken	Esta cuenta ya existe
mainmenu.friends	Amigos
settings.title	Ajustes
friends.invite	Invitar
friends.removefriend	Eliminar amigo
friends.game.invite.accept	Aceptar
friends.game.invite.decline	Rechazar
friends.cancelrequest	Cancelar
button.next	Siguiente
landing.grm	Abrir la aplicación Dire Wolf Game Room
settings.clientversion	Versión del cliente:
settings.serverversion	Versión del servidor:
button.saveandquit	Guardar y salir
settings.resign	Abandonar
landing.achievements.gc	Logros
button.mainmenu	Menú principal
button.replay	Repetición
button.resign	Abandonar
lobby.resign.confirmation	¿Seguro que quieres abandonar esta partida?
player.unsetperson	Esperando jugador...
player.localperson	Tú
button.skip	Saltar
dialogmessages.registration.nointernet	Sin acceso a internet
playonline.error.wrongpassword	Contraseña incorrecta
playonline.error.waitingoncasual	
playonline.error.cannotcreatelivegame	
playonline.error.cannotcreateasyncgame	
block.player	Bloquear jugador
multiplayer.blockplayer	Al bloquear a {0}, se ocultarán los mensajes. Esta acción no se puede deshacer.
multiplayer.reportplayer	Has bloqueado a {0}. ¿Te gustaría enviar un informe de este jugador?
multiplayer.reportplayer.describe	Describe por qué informas de {0}.
multiplayer.reportplayer.reason.abusive	Mensajes en el chat violentos o inapropiados
multiplayer.reportplayer.reason.inappropriateusername	Nombre de usuario inapropiado
multiplayer.reportplayer.reason.griefing	Ralentización intencional de la partida
multiplayer.reportplayer.reason.cheating	Trampas o uso de bots
name.ai.easy	
name.ai.medium	
name.ai.hard	
button.createfriendgame	
playonline.yourturn	
multiplayer.yourturn.2	
mainmenu.friendgame	
button.invitefriend	
player.defaultname	
button.decline	
button.minimize	
button.expand	
multiplayer.matchchat	
multiplayer.variants	
prompt.unitdetails.title.monster	
prompt.unitdetails.title.player	
prompt.unitdetails.subheader	
trade.empty.player	
trade.empty.partner	
trade.theyget	
trade.iget	
sell.wontlevel	
sell.youritems	
sell.tosell	
sell.empty	
kin.level	
prompt.inventory.offertrade	
prompt.inventory.sellforlevel	
playmat.battle.askforhelp	
playmat.battle.runaway	
playmat.battle.failed	
playmat.battle.success	
prompt.avatarselection	
prompt.showowned	
prompt.sort	
card.type.class	Clase
card.type.race	Raza
card.type.item	
card.type.item.big	Grande
card.type.item.oneshot	
card.type.curse	¡Maldición!
card.type.special	
card.type.monster	
card.type.monster.undead	Muerto Viviente
card.type.monsterenhancer	
playmat.battle.win	
player.name.self	Tú
playonline.offplayer.label	Cerrado
login.newaccount	Cuenta Nueva
playonline.humanplayer.label	Abierto
character.race.norace	
character.race.human	
character.race.dwarf	Enano
character.race.elf	Elfo
character.race.halfling	Mediano
character.class.noclass	
character.class.none	
character.class.cleric	Clérigo
character.class.thief	Ladrón
character.class.warrior	Guerrero
character.class.wizard	Mago
button.emote	
placement.1st	
placement.2nd	
placement.3rd	
placement.4th	
placement.5th	
placement.6th	
button.done	
gen.one	
gen.two	
gen.three	
prompt.inventory.configure	
equip.armor	Armadura
equip.headgear	Cubrecabeza
equip.footgear	Calzado
equip.onehand	1 Mano
equip.twohand	2 Manos
equip.twohandbig	2 Manos Grande
equip.oneshot	
prompt.tradeoffer.togive	
prompt.tradeoffer.toreceive	
prompt.tradeoffer.header	
prompt.tradecomplete.accepted	
prompt.tradecomplete.rejected	
sell.noitemstosell	
deck.door	
deck.treasure	
sex.male	
sex.female	
prompt.inventory.equipped	
prompt.inventory.carried	
prompt.inventory.inhand	
prompt.inventory.raceclass	
button.block	
prompt.unequip.header	
prompt.replaceclass.header	
prompt.replacerace.header	
prompt.lootthebody.header	
prompt.played	
prompt.readylivegame	Tu partida en directo está lista. Como los temporizadores duran poco, tienes que unirte ya.
prompt.discard.header	
dragtarget.drophere	
dragtarget.usenow	
dragtarget.addundead	
prompt.stealcard.header	
prompt.choosecard.header	
prompt.chooseplayer.header	
prompt.choosemanyplayers.header	
prompt.killhireling.header	
prompt.choosediscardpile.header	
button.confirm	
emote.curses	
emote.incredible	
emote.help	
emote.unplanned	
emote.wellplayed	
emote.run	
prompt.general.or	
prompt.reportplayer.dropdown	Selecciona el motivo de tu denuncia
prompt.discarded	
prompt.gave	
prompt.stole	
button.distract	
kin.killnose	
button.wave	
button.scare	
button.bribe	
button.ignorefight	
prompt.cursed	
prompt.cheat.header	
button.reconnect	
match.askforhelp.failed	
playonline.error.cannotjoingame	
gameoptions.endturnjumpin	
prompt.title.tradedfor	
prompt.used	
button.mustaccept	
prompt.sold	
kin.deckshuffle.door	
kin.deckshuffle.treasure	
auto.update.body	Hay una actualización disponible.
auto.update.body.forced	Se necesita una actualización para continuar.
auto.update.confirm	Actualizar
button.reject	
deck.door.top	
deck.treasure.top	
card.type.monster.baby	
card.type.monster.baby.undead	
prompt.looted	
dialogmessages.addfriend.inviteexists	Ya has invitado a este usuario.
login.deleteaccountbutton	Eliminar cuenta
deleteaccount.confirm.message	¿Seguro que quieres eliminar tu cuenta?
deleteaccount.complete.message	Comprueba tu correo electrónico para finalizar la eliminación de tu cuenta.
deleteaccount.failed.message	Un error de red ha impedido eliminar tu cuenta. Inténtalo más tarde.
playonline.error.gamefull	Esta partida está llena.
dialogmessages.continuegame.failure.gameended	
kin.combat.rewards.draft.pick	
equip.armorbig	
equip.onehandbig	
equip.slotlessbig	
multiplayer.gamecompleted.1	
multiplayer.gamecompleted.2	
multiplayer.gamecompleted.3	
multiplayer.gamecompleted.4	
multiplayer.gamecompleted.5	
multiplayer.gamecompleted.6	
prompt.gave.too.big	
kin.event.revived	
test.ops.key	
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.name	Dragón de Plutonio
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.name	Huesitos
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.name	Cambio de Clase
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.name	Cambio de Raza
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.name	Cambio de Sexo
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.name	Te Ha Salido un Pollo en la Cabeza
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.name	El Pato del Apocalipsis
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.name	¡Los Impuestos!
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.name	Pierdes 1 Objeto Grande
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.name	Pierdes un Nivel
base.door.217b04bf-e9b0-4878-b1cd-4f9122239913.name	Pierdes un Nivel
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.name	Pierdes 1 Objeto Pequeño
base.door.e9f354fb-0267-487b-a4dc-2709b65c870d.name	Pierdes 1 Objeto Pequeño
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.name	
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.name	
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.name	
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.name	Pierdes 2 Cartas
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.name	Pierdes tu Clase
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.name	Pierdes tu Raza
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.name	Espejo Maligno
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.name	¡Maldición Puñetera!
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.name	Clérigo
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.name	Ladrón
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.name	Guerrero
base.door.388e4af8-ba44-4715-9962-455838bfbe73.name	Mago
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.name	Súper Munchkin
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.name	Enano
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.name	Elfo
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.name	Mediano
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.name	Bastardo
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.name	Balrog Astifino y Ojinegro
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.name	Pulpodzilla
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.name	Hipopógrifo
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.name	Rey Tut
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.name	Viuda de Andrés Queleto e Hijos, Reparaciones y Cirugía
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.name	Vendedor de Seguros
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.name	Golem de (los que se Fuman la) Piedra
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.name	Innombrable Horror de la Aberración Incognoscible
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.name	Bigfoot, Alias Pies Grandes
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.name	Súcubo Lenguaraz
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.name	Aspirante a Vampiro
base.door.55e5c91e-a987-4900-abec-0f502175288a.name	3872 Orcos
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.name	Nariz Voladora
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.name	Troll de Internet
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.name	Amazona
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.name	Cenador Salvaje
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.name	Noviampiras
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.name	Chupacaras
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.name	Abogados
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.name	Manticornitorrinco
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.name	Vomitador Astral
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.name	Frikón Ululante
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.name	Harpías
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.name	Duendecillo Leproso
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.name	Caracoles Empastillados
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.name	Caballo Zombi
base.door.b9d66767-ceee-47bb-a428-691cb557c716.name	Ranas Voladoras
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.name	Octaedro Gelatinoso
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.name	Pollo Dopado con Esteroides
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.name	Pitbull
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.name	Ladillas
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.name	Babosa Babeante
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.name	Goblin Lastimado
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.name	Rata Muy Enfadada
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.name	Planta en un Tiesto
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.name	Venerable
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.name	Cría
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.name	Enfurecido
base.door.45814a37-7d87-4333-8e69-3068628f2474.name	Tamaño Inconmensurable
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.name	Inteligente
base.door.b95cafbd-d581-43ff-a08b-39979135b256.name	Amiguito
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.name	Monstruo Errante
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.name	¡Eso Es Trampa!
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.name	Intervención Divina
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.name	¡Dame Eso!
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.name	Ilusión
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.name	“He Salido a Comer. Vuelvo en 5 Minutos.”
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.text	
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.text	Si te ves obligado a Huir, pierdes 1 Nivel aunque consigas escapar.
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.text	Si no tienes Clase actualmente, esta maldición no surte efecto. En otro caso, coge el mazo de descartes, y busca una carta de Clase, empezando por el último descarte. La primera Clase que encuentres reemplaza a tu actual Clase (o Clases). Si no hay ninguna carta de Clase, pierdes la Clase (o Clases) que tengas.
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.text	Si no tienes Raza actualmente, esta maldición no surte efecto. En otro caso, coge el mazo de descartes, y busca una carta de Raza, empezando por el último descarte. La primera Raza que encuentres reemplaza a tu actual Raza (o Razas). Si no hay ninguna carta de Raza, pierdes la Raza (o Razas) que tengas.
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.text	-5 a tu siguiente combate, debido a la distracción. Después de eso no hay ningún efecto adicional. Sin embargo, el cambio es permanente.
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.text	-1 a todas tus tiradas. Cualquier Maldición o Mal Rollo que te despoje de tu Cubrecabeza se lleva también el pollo.
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.text	Deberías saber que no es sano coger un pato que te has encontrado en mitad de un Dungeon. Pierdes 2 Niveles.
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.text	Descártate de un objeto a tu elección. Los demás jugadores deben descartarse de uno o más objetos que sumen un total igual o superior al valor del objeto del que tú te descartaste. Si no tienen objetos suficientes para pagar el impuesto, deben descartarse de todos sus objetos y pierden 1 Nivel.
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.text	Descártate de un objeto Grande a tu elección.
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.text	Pierdes un Nivel
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.text	Descártate de un objeto Pequeño a tu elección. Cualquier objeto que no esté señalado como “Grande” se considera Pequeño.
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.text	Pierdes la Armadura que Lleves.
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.text	Pierdes cualquier Cubrecabeza que Lleves.
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.text	Pierdes el Calzado que Lleves.
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.text	
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.text	Descártate de tu carta de Clase, si tienes una. Si tienes dos Clases en juego, pierde una de ellas (a tu elección). Si no tienes Clase, pierdes 1 Nivel.
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.text	Descártate de todas las cartas de Raza que tengas en juego. Te conviertes en Humano.
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.text	¡Estás maldito! En tu próximo combate (únicamente) no recibes ningún Bonus por tus objetos, a excepción de las Armaduras. Si usas un Anillo de los Deseos antes del próximo combate, esta maldición es anulada.
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.text	Pierdes el Objeto que te Da el Bonus Más Alto.
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.text	<b>Resurrección:</b> Cuando te llegue el momento de robar cartas boca arriba, puedes decidir sacarlas de la parte superior del mazo de descartes adecuado. Después debes descartarte de una carta de tu mano por cada carta robada de este modo. Expulsar <br><b>Muertos Vivientes:</b> Puedes descartarte de hasta 3 cartas en el combate contra Muertos Vivientes; cada descarte te da un Bonus de +3.
base.door.fe64f0ce-af63-467d-8ad1-0ee7ddbc344f.text	<b>Resurrección:</b> Cuando te llegue el momento de robar cartas boca arriba, puedes decidir sacarlas de la parte superior del mazo de descartes adecuado. Después debes descartarte de una carta de tu mano por cada carta robada de este modo. Expulsar <br><b>Muertos Vivientes:</b> Puedes descartarte de hasta 3 cartas en el combate contra Muertos Vivientes; cada descarte te da un Bonus de +3.
base.door.ca594201-bd83-4215-8b5a-88f5359bd827.text	<b>Resurrección:</b> Cuando te llegue el momento de robar cartas boca arriba, puedes decidir sacarlas de la parte superior del mazo de descartes adecuado. Después debes descartarte de una carta de tu mano por cada carta robada de este modo. Expulsar <br><b>Muertos Vivientes:</b> Puedes descartarte de hasta 3 cartas en el combate contra Muertos Vivientes; cada descarte te da un Bonus de +3.
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.text	<b>Puñalada a Traición:</b> Puedes descartarte de una carta para apuñalar cruelmente a otro jugador (y penalizarle con un -2 en el combate). Sólo puedes hacer esto una vez por víctima y combate, pero si hay dos jugadores luchando juntos contra un monstruo, puedes apuñalar a ambos.<br><b>Robo:</b> Puedes descartarte de una carta para intentar robar un objeto Pequeño que lleve otro jugador. Tira un dado: con un 4 o más tienes éxito. En otro caso, te sacuden y pierdes 1 Nivel.
base.door.6f8d05dd-10e6-41b3-813b-a74d4afa2a62.text	<b>Puñalada a Traición:</b> Puedes descartarte de una carta para apuñalar cruelmente a otro jugador (y penalizarle con un -2 en el combate). Sólo puedes hacer esto una vez por víctima y combate, pero si hay dos jugadores luchando juntos contra un monstruo, puedes apuñalar a ambos.<br><b>Robo:</b> Puedes descartarte de una carta para intentar robar un objeto Pequeño que lleve otro jugador. Tira un dado: con un 4 o más tienes éxito. En otro caso, te sacuden y pierdes 1 Nivel.
base.door.a6ebc11c-6d9a-462c-b8e9-b2ec5e2d0222.text	<b>Puñalada a Traición:</b> Puedes descartarte de una carta para apuñalar cruelmente a otro jugador (y penalizarle con un -2 en el combate). Sólo puedes hacer esto una vez por víctima y combate, pero si hay dos jugadores luchando juntos contra un monstruo, puedes apuñalar a ambos.<br><b>Robo:</b> Puedes descartarte de una carta para intentar robar un objeto Pequeño que lleve otro jugador. Tira un dado: con un 4 o más tienes éxito. En otro caso, te sacuden y pierdes 1 Nivel.
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.text	<b>Furia Berserker:</b> Puedes descartarte de hasta 3 cartas en el combate; cada descarte te da un Bonus de +1.<br>Ganas el combate cuando haya empate.
base.door.08bbdd74-a5bb-4150-980a-63ffb491e787.text	<b>Furia Berserker:</b> Puedes descartarte de hasta 3 cartas en el combate; cada descarte te da un Bonus de +1.<br>Ganas el combate cuando haya empate.
base.door.094b1e99-e8e3-4111-8ad7-6d9f57c62bc4.text	<b>Furia Berserker:</b> Puedes descartarte de hasta 3 cartas en el combate; cada descarte te da un Bonus de +1.<br>Ganas el combate cuando haya empate.
base.door.388e4af8-ba44-4715-9962-455838bfbe73.text	<b>Conjuro de Volar:</b> Tras tirar el dado para Huir, puedes descartarte de hasta 3 cartas; cada una te da un Bonus de +1 para Huir.<br><b>Conjuro de Hechizar:</b> Puedes descartarte de toda tu mano (mínimo 3 cartas) para hechizar a un monstruo, en vez de luchar con él. Descartas al monstruo y coges su Tesoro, pero no subes de Nivel. Si hay otros monstruos involucrados en el combate, debes luchar contra ellos normalmente.
base.door.dda0c66f-0b6b-40dc-bd2c-4f0728c8089a.text	<b>Conjuro de Volar:</b> Tras tirar el dado para Huir, puedes descartarte de hasta 3 cartas; cada una te da un Bonus de +1 para Huir.<br><b>Conjuro de Hechizar:</b> Puedes descartarte de toda tu mano (mínimo 3 cartas) para hechizar a un monstruo, en vez de luchar con él. Descartas al monstruo y coges su Tesoro, pero no subes de Nivel. Si hay otros monstruos involucrados en el combate, debes luchar contra ellos normalmente.
